conspiracy_percentage,coronavirus,china,man,bioweapon,conspiracy,new,update,cases,outbreak,covid19,misinformation
0.2926829268292683,0.16527678300480292,0.0,0.0,0.3629258457107582,0.0,0.0,0.0,0.0,0.0,0.0,1
0.29276315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.2659732540861813,0.12317811708129225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30525519041770866,0.0,1
0.17543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.08571428571428573,0.0,0.2741678920979934,0.0,0.0,0.40488851366265,0.0,0.0,0.0,0.0,0.0,1
0.15384615384615385,0.13489923493979586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29622078816016734,1
0.1920391061452514,0.11884267014152165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.13076923076923078,0.09324387415475087,0.0,0.0,0.2047511530036077,0.0,0.0,0.0,0.0,0.0,0.0,1
0.2255639097744361,0.11911402639847118,0.0,0.0,0.2615585684858259,0.0,0.0,0.30796740915757587,0.0,0.0,0.0,1
0.20864067439409906,0.09884704971187704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24495889121372488,0.0,1
0.1206896551724138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.12804878048780488,0.11366343633288213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.05882352941176471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.21875,0.09903746112244488,0.21426544814745999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.11494252873563217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.19047619047619047,0.08932992992517834,0.0,0.22598296990342073,0.0,0.0,0.0,0.0,0.0,0.0,0.19615665174482486,1
0.16901408450704225,0.1327043032145431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.18562874251497005,0.12215178363739415,0.2642727950257022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.17567567567567569,0.09666695440205893,0.20913690709820895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.1914893617021277,0.2524457375620002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.14423076923076922,0.16653490132927745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.2692307692307692,0.11925705734642789,0.0,0.0,0.26187264543484595,0.0,0.0,0.0,0.0,0.0,0.0,1
0.17543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.21212121212121213,0.11689879823468162,0.0,0.0,0.25669422190205765,0.0,0.0,0.0,0.0,0.0,0.0,1
0.20689655172413796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.14754098360655735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.26548672566371684,0.131860644576729,0.0,0.33357532128131373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.14285714285714285,0.11754320391630572,0.0,0.0,0.25810925111990884,0.0,0.0,0.0,0.0,0.291290969077728,0.0,1
0.20954907161803712,0.11805480405344361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.16363636363636366,0.09296055946772865,0.0,0.0,0.20412903161111404,0.0,0.0,0.0,0.0,0.0,0.0,1
0.2801724137931034,0.15100430261501288,0.0,0.0,0.331585375974581,0.0,0.0,0.0,0.0,0.0,0.0,1
0.1413793103448276,0.12293736727833751,0.0,0.3110016026312344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.4782608695652174,0.1269755550388241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.1377245508982036,0.0,0.2051992923936431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.16783216783216784,0.168538492038438,0.0,0.0,0.3700881251790126,0.0,0.0,0.0,0.0,0.0,0.0,1
0.10784313725490197,0.11135651514058229,0.2409174604267891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.24390243902439024,0.09324387415475087,0.0,0.0,0.2047511530036077,0.0,0.0,0.0,0.0,0.0,0.0,1
0.16129032258064516,0.10180710112512911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.08928571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.19230769230769232,0.09989730468351342,0.0,0.25271585477158537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.25925925925925924,0.0,0.2754278582163272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27955113916839713,1
0.1956521739130435,0.09159295283586671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.1891891891891892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2882399065815268,1
0.2453825857519789,0.12962261010457413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.1981981981981982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.08571428571428573,0.15251613470039918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.21467391304347827,0.16569757576640984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.10526315789473684,0.09185070259893877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.18620689655172412,0.1814199132565026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.06827309236947791,0.11229308680905883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2782803342729253,0.0,1
0.32019704433497537,0.09008434410474808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.10775047258979206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.1870967741935484,0.08813398762054887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.2195121951219512,0.12283170838788413,0.2657437978131239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
